rank,rating,name,score/round,damage/round,k/d_ratio,hs_percentage(%),win_percentage(%),top_1_agents_name,top_1_agents_hours,top_1_agents_win%,top_1_agents_acs,top_2_agents_name,top_2_agents_hours,top_2_agents_win%,top_2_agents_acs,top_3_agents_name,top_3_agents_hours,top_3_agents_win%,top_3_agents_acs,top_1_weapon,top_1_weapon_kills,top_1_hs%,top_2_weapon,top_2_weapon_kills,top_2_weapon_hs%,top_3_weapon,top_3_weapon_kills,top_3_weapon_hs%
23,957,eeiu#1945,266.9,172.6,1.26,35.5,57.2,Reyna,33.0,52.6,265.2,Sova,24.0,65.9,269.3,Fade,14.0,50.0,261.5,Vandal,"3,086",48,Sheriff,310,51,Ghost,305,49
24,937,add3r#LFHER,234.7,154.7,1.18,34.8,58.9,Sova,40.0,61.6,232.1,Omen,8.9,56.2,224.5,Fade,8.6,35.7,218.2,Vandal,"2,170",48,Phantom,292,45,Ghost,257,56
25,928,Korsonix#100,215.4,140.6,1.23,30.0,65.2,Astra,12.0,72.7,218.3,Viper,11.0,55.0,211.8,Brimstone,11.0,63.2,213.1,Vandal,"1,030",43,Ghost,121,45,Spectre,90,24
27,918,100T bang#0000,258.2,168.9,1.28,40.3,58.3,Chamber,22.0,65.1,273.4,Viper,14.0,51.9,240.5,Omen,14.0,60.0,254.1,Phantom,"1,897",51,Vandal,408,56,Ghost,251,56
28,917,Eggsterr#NJLTC,239.1,153.1,1.02,24.6,54.2,Yoru,128.0,55.4,240.3,Skye,1.0,0.0,166.1,Sova,0.9,50.0,210.1,Vandal,"2,075",41,Phantom,647,36,Stinger,289,25
29,916,100T iiTzTimmy#iiTz,244.0,159.0,1.25,30.1,51.9,Chamber,34.0,53.2,262.7,Jett,26.0,51.1,248.6,Viper,17.0,64.3,234.9,Vandal,"2,260",45,Phantom,731,37,Operator,280,14
30,914,EG Apoth#DOG,230.0,150.2,1.16,32.3,58.6,Viper,15.0,48.3,219.0,Omen,14.0,57.7,233.2,Brimstone,14.0,59.3,233.4,Vandal,902,44,Phantom,644,41,Ghost,240,55
31,909,Cryocells#Taffy,270.4,173.2,1.34,26.0,59.3,Chamber,23.0,51.2,261.4,Raze,23.0,67.5,280.2,Jett,18.0,61.3,285.4,Vandal,"1,701",38,Operator,272,6,Ghost,235,38
32,907,wedid#0702,230.6,152.2,1.2,32.7,60.0,Viper,18.0,63.6,239.5,Raze,14.0,64.0,273.8,Omen,13.0,65.2,214.8,Vandal,"1,309",46,Phantom,"1,035",40,Ghost,264,59
33,906,nillyaz#sosa,219.8,144.7,1.16,30.3,54.5,Astra,18.0,56.2,209.5,Sova,15.0,46.4,224.5,KAY/O,9.7,41.2,224.8,Phantom,"1,011",41,Vandal,851,44,Spectre,245,32
34,904,Jonaaa6#1109,222.2,144.9,1.1,26.6,55.5,Chamber,35.0,47.6,228.5,Sova,15.0,57.1,206.8,KAY/O,11.0,42.1,232.5,Vandal,"2,093",37,Phantom,358,34,Ghost,234,46
35,903,MSF florescent#meow,263.3,175.1,1.24,37.6,55.6,Jett,38.0,55.1,260.3,Reyna,20.0,57.5,282.0,Phoenix,8.1,53.3,264.0,Vandal,"1,639",52,Phantom,214,44,Sheriff,206,64
36,903,TSM Rossy x1#jess,222.1,145.3,1.19,31.1,56.8,Sova,24.0,65.2,228.9,Breach,12.0,50.0,207.4,Astra,10.0,55.6,214.2,Vandal,"2,188",44,Classic,244,43,Bulldog,185,39
37,899,KING VINNY#NA1,229.4,149.1,1.15,26.2,59.7,Chamber,31.0,63.6,247.5,Jett,19.0,67.6,228.7,KAY/O,4.0,57.1,189.1,Vandal,888,38,Operator,354,8,Phantom,104,32
38,893,i want real sage#imeow,238.7,152.9,1.09,35.4,59.5,Chamber,25.0,73.9,238.9,Jett,11.0,30.0,247.4,Raze,10.0,52.6,251.0,Vandal,831,56,Phantom,438,44,Spectre,184,32
39,891,DraYstaR#zapr,201.7,132.0,1.16,25.8,52.1,Sova,64.0,50.0,200.1,Sage,40.0,59.4,204.1,Astra,6.7,54.5,215.5,Vandal,"1,843",37,Phantom,261,36,Sheriff,192,60
40,887,SEN tarik#1337,254.0,163.7,1.28,23.2,54.8,Chamber,113.0,60.8,251.4,Jett,60.0,51.4,259.4,Reyna,33.0,50.8,259.8,Vandal,"3,154",33,Operator,"1,190",6,Phantom,549,33
41,884,SQ PureR#260,243.6,154.2,1.25,27.2,62.4,Chamber,17.0,64.5,247.6,Jett,11.0,65.0,260.2,Fade,6.5,75.0,227.6,Vandal,798,38,Phantom,171,37,Operator,140,6
42,881,GianSanity#AIM,224.5,144.1,1.07,25.8,53.3,Jett,21.0,59.5,260.6,Chamber,15.0,46.4,227.9,Phoenix,9.0,43.8,245.3,Vandal,"1,339",39,Operator,245,8,Ghost,185,46
43,881,GUARD trent#Habib,245.9,160.3,1.19,31.1,55.8,Sova,17.0,58.1,238.5,Jett,16.0,58.1,266.2,Raze,16.0,55.2,268.3,Vandal,"1,895",49,Phantom,412,42,Spectre,266,25
44,877,poopybutt9000#watt,254.3,163.6,1.35,29.2,75.8,Viper,9.3,93.8,249.4,Chamber,4.6,44.4,261.3,Omen,3.8,62.5,244.8,Vandal,788,41,Spectre,84,25,Ghost,56,50
45,876,T1 ban#xuf,251.5,160.7,1.16,30.2,53.0,Chamber,24.0,45.5,263.2,Jett,21.0,57.9,264.5,Reyna,20.0,63.9,273.1,Vandal,"1,969",46,Phantom,425,36,Operator,285,5
46,875,samdlphn#linda,211.3,138.9,1.01,28.4,49.6,Chamber,46.0,56.1,220.0,Jett,34.0,42.6,208.5,Raze,10.0,66.7,221.0,Vandal,"1,728",43,Operator,460,10,Phantom,188,35
47,875,SR v1c#dazzL,258.5,168.2,1.37,33.2,60.0,Chamber,21.0,51.3,268.7,Brimstone,6.1,63.6,262.2,Omen,5.9,72.7,251.6,Vandal,"1,660",45,Ghost,226,53,Sheriff,143,63
48,874,Toskri#915,246.3,164.9,1.22,35.6,58.2,Reyna,28.0,71.7,261.1,Raze,18.0,60.0,242.2,Jett,15.0,37.0,250.0,Vandal,"1,653",50,Ghost,200,51,Sheriff,87,64
49,873,LFT OXY#Live,265.7,169.1,1.24,30.9,55.6,Jett,37.0,50.7,274.2,Chamber,29.0,65.4,265.8,Sova,16.0,60.0,262.2,Vandal,"2,162",47,Phantom,493,39,Operator,316,8
50,867,COL PowerPixele#EXDE,202.9,131.8,1.01,23.1,48.1,Viper,32.0,52.6,206.3,Omen,19.0,34.3,209.9,Brimstone,16.0,63.3,212.8,Vandal,"1,668",35,Phantom,945,32,Stinger,241,22
51,866,분노해서 약빨고 폭주한 우상범#ixrx3,212.0,135.5,1.01,18.9,59.6,Brimstone,28.0,62.7,221.5,Omen,14.0,53.8,201.2,Fade,12.0,65.0,217.0,Vandal,942,34,Phantom,355,27,Spectre,140,21
52,866,Bart#00000,229.6,152.5,1.05,33.5,60.9,Jett,32.0,56.1,233.7,Reyna,15.0,74.1,225.9,Raze,6.3,58.3,262.4,Vandal,"1,369",49,Ghost,131,58,Marshal,80,77
53,865,zt0L#TTV,217.1,137.0,1.02,22.8,49.0,Fade,150.0,50.2,219.2,Neon,4.3,50.0,203.1,Reyna,2.1,50.0,266.3,Vandal,"2,607",37,Phantom,495,30,Stinger,401,14
