rank,rating,name,score/round,damage/round,k/d_ratio,hs_percentage(%),win_percentage(%),top_1_agents_name,top_1_agents_hours,top_1_agents_win%,top_1_agents_acs,top_2_agents_name,top_2_agents_hours,top_2_agents_win%,top_2_agents_acs,top_3_agents_name,top_3_agents_hours,top_3_agents_win%,top_3_agents_acs,top_1_weapon,top_1_weapon_kills,top_1_hs%,top_2_weapon,top_2_weapon_kills,top_2_weapon_hs%,top_3_weapon,top_3_weapon_kills,top_3_weapon_hs%
115,739,Typo#IDC,225.1,147.0,1.03,28.8,49.3,Jett,45.0,42.9,237.3,Raze,29.0,58.5,239.2,Chamber,7.0,38.5,204.5,Vandal,"1,990",44,Sheriff,317,59,Ghost,233,54
116,738,SR bdog#92122,254.1,162.6,1.31,25.7,53.9,Chamber,44.0,51.9,252.4,Jett,8.0,64.3,289.6,Sage,4.3,50.0,226.8,Vandal,568,35,Phantom,472,34,Operator,397,8
117,737,Shawn12590#bibi,225.8,147.0,1.1,29.9,53.2,KAY/O,16.0,51.7,233.6,Sova,10.0,57.9,207.6,Phoenix,6.0,54.5,262.2,Phantom,"1,019",41,Vandal,229,46,Spectre,189,27
118,737,Khanartist2#troll,219.4,142.2,1.04,28.3,55.1,Chamber,11.0,65.2,237.8,Sova,11.0,45.0,219.1,Raze,4.0,71.4,214.0,Vandal,797,44,Operator,122,11,Ghost,91,46
119,737,PapaSmurf#LFT,197.7,129.0,0.95,24.7,52.2,Viper,21.0,42.1,205.5,Brimstone,11.0,55.0,202.2,Sova,10.0,35.0,166.6,Vandal,"1,137",38,Phantom,477,34,Spectre,170,24
120,734,Harmon#BARK,205.5,135.1,0.97,29.7,47.2,Sova,48.0,51.1,213.1,Fade,30.0,43.1,192.8,KAY/O,24.0,42.9,208.8,Vandal,"1,759",46,Phantom,852,37,Ghost,199,50
121,732,ALEKSANDAR#3500,231.5,150.5,1.16,40.4,50.0,Chamber,23.0,65.0,242.1,KAY/O,19.0,44.4,196.5,Jett,19.0,58.8,257.6,Vandal,"2,151",57,Sheriff,327,75,Ghost,291,63
122,730,sufu#7396,207.9,135.1,0.99,25.1,49.6,Sova,27.0,41.7,206.3,Reyna,14.0,60.0,237.9,Skye,9.2,75.0,197.9,Vandal,"1,180",39,Stinger,226,27,Phantom,167,31
123,730,ControllaScrimma#EL2,205.2,133.6,0.97,31.9,51.0,Reyna,42.0,47.4,210.1,Raze,15.0,57.1,204.8,Phoenix,12.0,61.9,201.7,Vandal,"1,719",46,Phantom,283,39,Ghost,228,55
124,729,V1 effys#LBE,206.6,137.2,1.1,25.6,62.0,Fade,9.8,64.7,214.6,Sova,9.6,52.9,201.4,Chamber,5.8,90.9,231.0,Vandal,854,39,Classic,78,35,Phantom,48,37
126,729,sukhdeepFPS#ttv,225.2,150.7,1.05,22.8,48.8,Raze,54.0,50.5,246.3,Fade,28.0,46.9,209.1,KAY/O,25.0,44.4,217.8,Vandal,"2,178",35,Phantom,402,33,Spectre,398,25
127,729,sexy bean#jakee,268.3,170.9,1.22,34.7,49.2,Jett,28.0,64.2,303.7,Chamber,13.0,39.1,288.1,Viper,12.0,44.0,249.4,Vandal,"2,711",44,Ghost,295,56,Sheriff,144,63
128,726,evy#7TEEN,237.0,152.4,1.14,33.8,48.0,Reyna,33.0,50.0,257.3,Chamber,33.0,45.6,238.1,Jett,29.0,48.1,237.3,Vandal,"2,364",51,Phantom,292,44,Ghost,224,56
129,726,ZachaREEE#rift,210.8,139.1,1.03,29.9,48.8,Astra,14.0,52.0,215.8,Viper,14.0,60.0,214.8,Harbor,12.0,31.8,180.7,Vandal,"1,842",45,Phantom,451,37,Sheriff,201,66
130,726,V1 wippie#nori,247.9,163.4,1.22,22.2,50.6,Chamber,37.0,55.9,249.9,Astra,15.0,60.7,241.5,Killjoy,6.3,18.2,245.0,Vandal,"1,743",31,Bulldog,223,30,Operator,213,4
131,725,gimp#1337,235.1,153.0,1.01,26.6,54.8,Phoenix,37.0,47.1,245.4,Reyna,20.0,74.3,251.9,Breach,7.4,46.2,183.8,Vandal,"1,739",36,Ghost,261,48,Stinger,111,34
132,722,foreign#4299,246.7,161.3,1.36,26.8,61.5,Sova,7.6,71.4,265.1,Raze,5.3,44.4,272.1,Cypher,3.4,50.0,233.8,Vandal,666,40,Phantom,178,35,Ghost,105,51
133,721,azrex#OPIUM,228.9,145.5,1.09,25.6,52.6,Jett,34.0,52.4,235.7,Chamber,33.0,53.4,226.6,KAY/O,3.2,60.0,234.7,Vandal,"1,023",41,Operator,465,8,Sheriff,157,60
134,720,gamer#VAL,201.9,130.7,0.98,17.0,53.0,Yoru,47.0,53.0,208.0,Reyna,12.0,60.9,216.7,Chamber,8.4,21.4,192.3,Vandal,"1,419",26,Stinger,394,14,Phantom,118,25
135,718,MAR1#Live,206.9,135.6,1.04,34.4,50.0,KAY/O,29.0,52.9,205.1,Viper,11.0,60.0,206.8,Skye,8.0,42.9,194.0,Vandal,"1,274",46,Phantom,303,45,Ghost,216,54
136,716,TTV Racoone#242,220.9,137.5,0.89,13.7,49.2,Raze,122.0,50.9,226.9,Reyna,18.0,54.3,227.9,Jett,13.0,50.0,204.4,Vandal,"1,555",35,Judge,"1,399",12,Phantom,484,28
137,716,Murked#sauce,224.8,149.6,1.01,33.9,48.8,Sova,45.0,51.2,231.4,Brimstone,19.0,50.0,216.8,Chamber,8.4,31.2,225.3,Vandal,"1,646",48,Phantom,403,38,Ghost,195,47
138,716,marshJESUS#CART,281.6,180.2,1.33,21.9,64.2,Raze,13.0,57.7,281.1,Jett,12.0,73.9,294.5,Yoru,11.0,71.4,299.0,Vandal,"1,333",32,Phantom,176,29,Classic,130,32
139,715,sharky#wock,227.0,148.5,1.1,24.5,50.4,Raze,11.0,55.0,258.5,Fade,9.9,44.4,216.2,Omen,9.1,56.2,223.2,Vandal,"1,049",36,Phantom,278,34,Sheriff,141,67
140,715,wεLyỵ4#ŒΞΞΞΞ,181.4,123.0,0.97,29.6,57.6,Sova,24.0,60.5,181.3,Fade,6.6,63.6,189.7,Breach,5.6,33.3,172.6,Vandal,381,47,Phantom,263,42,Odin,78,18
142,711,OPAC WARDELL#OPAC,262.6,167.3,1.37,29.4,51.1,Chamber,47.0,55.3,265.6,Jett,29.0,41.5,263.0,Omen,6.0,60.0,246.7,Vandal,"1,207",45,Operator,794,9,Phantom,439,38
143,711,C9 Zellsis#1240,225.9,147.6,1.05,24.9,50.5,Raze,34.0,57.4,252.0,KAY/O,21.0,46.2,210.6,Sova,18.0,58.3,220.6,Vandal,"1,883",41,Phantom,"1,212",32,Stinger,316,26
145,709,alexNAsgreatest#kun,239.6,154.8,1.17,31.2,53.5,Jett,25.0,45.7,251.5,Reyna,6.3,90.9,234.3,Chamber,5.5,72.7,244.2,Vandal,983,43,Ghost,164,47,Sheriff,105,63
146,708,ASP MICKNUTTY333#meow,190.2,124.9,0.9,25.1,52.4,Sova,54.0,60.2,185.4,Astra,46.0,56.1,190.1,Chamber,39.0,48.6,208.3,Vandal,"2,589",39,Phantom,"1,654",33,Ghost,396,42
147,708,CVU Wildfire#valid,228.3,152.5,1.18,29.1,54.4,Fade,33.0,52.5,222.6,Jett,22.0,48.8,250.1,Sova,15.0,59.3,231.3,Vandal,"2,078",42,Sheriff,473,54,Ghost,281,42
148,707,shondex#snx,230.4,151.2,1.18,34.8,49.5,Chamber,38.0,51.5,243.5,Fade,4.2,57.1,210.1,KAY/O,3.4,40.0,214.4,Vandal,"1,103",49,Ghost,153,55,Operator,125,6
149,707,Soop#hater,239.3,156.8,1.06,25.5,50.5,Raze,68.0,53.2,258.4,Jett,42.0,52.6,239.9,Phoenix,19.0,61.8,247.2,Vandal,"3,987",39,Spectre,357,24,Classic,327,36
150,706,ScrewFace#TALL,245.4,158.4,1.2,23.9,51.7,Jett,41.0,54.8,254.9,Chamber,34.0,52.5,245.7,Raze,30.0,63.5,241.9,Vandal,"1,408",44,Operator,946,10,Phantom,537,34
151,706,Løgan#tiana,266.5,175.6,1.42,26.8,56.7,Chamber,18.0,47.1,253.8,Reyna,13.0,52.2,272.2,Sova,7.9,76.9,281.1,Vandal,"1,274",35,Ghost,194,42,Operator,135,5
152,703,OXG Verno#777,244.3,160.8,1.44,32.0,53.5,Sova,10.0,66.7,262.0,Fade,7.6,42.9,249.4,Astra,4.9,44.4,224.4,Vandal,"1,053",44,Phantom,123,38,Ghost,98,40
153,702,I love jihee#owner,201.7,132.7,0.88,24.3,54.7,Raze,20.0,52.8,224.2,Sova,14.0,52.0,167.0,Reyna,14.0,60.0,213.7,Vandal,"1,075",44,Phantom,227,38,Ghost,112,48
154,702,END Cell#GLHF,219.0,142.7,1.1,22.3,56.4,Sova,17.0,64.5,220.0,Fade,14.0,58.3,193.9,Chamber,12.0,36.4,237.5,Vandal,"1,024",31,Phantom,582,34,Spectre,164,20
155,701,icy#4444,228.0,147.8,1.09,26.3,47.9,Chamber,29.0,52.9,241.5,Killjoy,9.7,66.7,251.8,Brimstone,8.9,21.4,222.5,Vandal,"1,243",41,Phantom,330,34,Spectre,202,28
156,701,GenZ 299#2274,232.5,151.7,1.0,24.7,47.2,Jett,54.0,51.0,241.9,Chamber,41.0,51.3,231.1,Reyna,28.0,48.0,242.9,Vandal,"2,454",41,Phantom,610,33,Operator,444,10
157,701,Jakobe#TTV,238.4,154.6,1.2,27.5,56.4,Chamber,20.0,60.5,242.2,Jett,16.0,54.8,242.1,Fade,6.6,50.0,226.2,Vandal,780,40,Operator,171,5,Phantom,98,36
158,700,Thieney#NA1,210.5,137.1,0.98,23.9,52.8,Fade,33.0,58.6,205.0,Sova,14.0,42.3,208.0,Chamber,12.0,54.5,227.7,Vandal,"1,894",34,Phantom,292,28,Sheriff,289,48
159,699,yaz#Iran,207.9,138.5,1.01,23.5,49.8,Sova,45.0,48.2,202.8,Fade,26.0,45.7,199.7,Chamber,15.0,64.3,212.2,Vandal,"1,163",38,Phantom,666,28,Sheriff,174,55
160,698,SQ mina#weeb,211.1,138.6,1.0,24.7,52.7,Chamber,18.0,50.0,225.4,Jett,15.0,50.0,227.0,Raze,9.4,43.8,229.0,Vandal,"1,129",37,Operator,294,10,Phantom,239,32
161,696,DAVID#099,274.6,175.5,1.35,25.4,57.7,Chamber,95.0,60.7,274.2,Reyna,60.0,60.2,288.1,Sova,32.0,54.2,263.9,Vandal,"3,505",37,Phantom,"2,528",33,Spectre,"1,019",25
162,695,ZeroData#NA1,220.8,146.2,1.11,32.8,53.4,Chamber,18.0,57.6,226.5,Sova,16.0,55.2,205.5,Omen,6.9,50.0,227.8,Vandal,"1,639",46,Sheriff,243,61,Phantom,198,35
163,694,ASP Legend#9520,214.9,142.7,1.04,23.9,50.7,Jett,18.0,48.4,215.8,Chamber,18.0,55.9,219.1,Raze,11.0,47.6,231.4,Vandal,852,39,Operator,228,10,Phantom,201,32
164,693,Ali#owbot,242.1,157.7,1.21,31.6,52.5,Chamber,15.0,50.0,241.5,Brimstone,9.5,31.2,244.9,Jett,8.9,37.5,249.5,Vandal,"1,185",44,Ghost,109,45,Sheriff,105,53
165,693,renz#77777,217.1,143.1,1.05,31.6,52.2,Chamber,19.0,66.7,238.8,Fade,12.0,60.0,205.7,Sova,12.0,33.3,232.6,Vandal,"1,530",45,Phantom,199,35,Sheriff,170,51
166,692,toxik#cRYin,199.9,130.9,0.95,25.8,48.7,Chamber,61.0,43.1,208.2,Sova,57.0,50.5,207.4,Fade,29.0,50.0,185.8,Vandal,"2,989",39,Phantom,"1,105",34,Spectre,350,28
168,690,zeek#lydia,205.0,133.3,1.04,27.6,56.2,Viper,12.0,60.9,211.5,Brimstone,11.0,60.0,200.3,Omen,11.0,52.4,208.5,Vandal,584,42,Phantom,512,37,Spectre,156,28
169,688,SR dazzLe#708,230.5,149.9,1.05,19.7,51.8,Sova,14.0,48.1,229.2,Fade,13.0,54.2,223.3,Raze,11.0,52.6,240.2,Vandal,947,32,Phantom,199,28,Spectre,145,16
170,687,oderus#nsic,241.8,158.7,1.19,33.8,58.3,Chamber,25.0,56.8,246.1,Jett,1.9,75.0,284.8,Viper,1.6,100.0,185.5,Vandal,454,46,Phantom,329,42,Sheriff,38,60
171,687,Neon#HARD,255.2,164.2,1.38,21.7,53.9,Chamber,28.0,53.8,258.4,Raze,6.2,63.6,260.2,Jett,5.5,40.0,236.6,Vandal,448,38,Operator,285,5,Phantom,163,32
172,687,BU XYoshiZ#zoom,226.8,146.9,1.12,36.5,52.8,Jett,44.0,55.6,236.1,Chamber,5.1,60.0,223.1,Sage,5.0,30.0,198.8,Vandal,"1,134",49,Operator,130,7,Ghost,121,57
173,687,StarBound#idk,219.7,141.1,1.21,18.0,53.9,Chamber,34.0,56.7,231.6,Omen,7.3,78.6,208.6,Fade,5.9,45.5,194.9,Vandal,"1,031",28,Operator,305,5,Ghost,107,28
174,686,Riot YaBoiDre#DHC,222.2,144.6,1.06,35.6,51.0,Chamber,24.0,58.1,232.8,Fade,11.0,42.1,232.9,Jett,3.1,20.0,198.9,Vandal,845,52,Phantom,293,47,Ghost,121,49
176,686,C9 Xeppaa#XITER,250.3,163.2,1.15,24.0,50.8,Fade,62.0,59.0,250.1,Raze,33.0,55.9,280.8,Sova,14.0,46.4,237.4,Vandal,"2,411",37,Phantom,"1,553",31,Spectre,427,25
177,683,EG reformed#5731,219.4,144.4,1.0,25.4,47.2,Jett,12.0,57.7,218.4,Chamber,9.1,40.0,238.0,Raze,7.1,46.2,242.2,Vandal,747,38,Phantom,134,31,Spectre,107,25
178,683,tR Pa1nt#BeanZ,238.7,155.2,1.15,28.8,49.0,Raze,15.0,50.0,262.2,KAY/O,12.0,36.4,235.4,Chamber,10.0,31.6,235.1,Vandal,"1,585",43,Ghost,236,48,Sheriff,151,53
179,683,SQN nathn#4970,233.3,151.8,1.13,34.9,50.0,Chamber,18.0,46.9,218.1,Jett,14.0,47.8,258.5,Raze,5.7,40.0,261.4,Vandal,"1,119",51,Operator,133,6,Phantom,111,43
180,683,Chubsta#Lola,204.6,130.1,0.97,24.2,53.5,Jett,80.0,54.9,205.2,Reyna,5.1,44.4,220.0,Harbor,0.6,0.0,76.1,Vandal,"1,379",46,Shorty,246,11,Sheriff,172,58
181,681,Im Him#4fun,204.6,133.7,1.08,22.0,46.7,Chamber,26.0,50.0,223.1,Brimstone,21.0,56.8,214.6,Phoenix,20.0,38.9,236.9,Vandal,"2,036",38,Phantom,370,36,Operator,243,9
182,680,100T Derrek#100,233.1,154.8,1.09,36.1,47.5,Sova,24.0,66.7,231.6,Reyna,20.0,54.1,256.9,Fade,17.0,38.7,228.4,Vandal,"1,857",53,Ghost,223,53,Phantom,212,43
183,679,Sofa#000,203.0,134.0,1.0,24.0,49.5,Sova,21.0,54.1,199.7,KAY/O,18.0,39.4,205.2,Fade,18.0,57.6,210.4,Vandal,"1,816",35,Spectre,271,24,Phantom,271,30
184,678,pwny#001,236.9,153.4,1.19,27.6,55.9,Raze,12.0,57.1,251.5,Jett,11.0,50.0,244.3,Chamber,5.3,60.0,224.7,Vandal,618,43,Operator,102,6,Ghost,88,58
185,678,bjor#LIGMA,237.5,158.0,1.18,25.5,50.8,Astra,32.0,55.9,249.7,Omen,26.0,48.9,236.8,Brimstone,24.0,47.6,235.4,Vandal,"2,237",36,Phantom,817,35,Ghost,342,40
186,678,Vxya#Dope,200.3,130.4,0.94,33.9,52.3,Fade,11.0,47.4,185.4,Astra,10.0,78.9,214.1,Viper,10.0,47.4,200.5,Vandal,"1,074",52,Phantom,246,45,Spectre,105,41
187,678,Jayy#yyaJ,199.6,131.9,0.97,26.0,50.7,Sage,78.0,54.0,201.7,Astra,12.0,68.4,181.9,Viper,11.0,40.0,190.1,Vandal,"1,968",38,Phantom,355,31,Ghost,286,42
188,675,Tim#Trin,213.0,137.8,1.02,25.4,47.7,Viper,12.0,50.0,192.2,Brimstone,12.0,59.1,231.1,Omen,9.5,44.4,213.1,Vandal,"1,295",36,Phantom,145,31,Spectre,141,22
189,675,ASP roompa#zzZ,214.1,138.9,1.04,31.3,49.6,Chamber,44.0,53.2,222.7,Sova,26.0,50.0,225.4,Reyna,8.2,53.3,229.1,Vandal,"1,951",44,Phantom,334,38,Ghost,234,47
190,673,Top#kouki,196.6,131.3,0.92,29.9,49.3,Sova,19.0,45.7,200.1,Omen,8.8,42.9,189.3,Viper,8.2,57.1,209.4,Vandal,952,47,Phantom,279,41,Sheriff,122,59
191,673,AMIR IS REFORMED#amir,226.0,146.6,0.96,28.4,50.8,Jett,26.0,54.3,227.0,Reyna,24.0,54.2,242.7,Chamber,21.0,42.1,225.4,Vandal,"1,720",41,Phantom,443,37,Ghost,211,47
192,671,Dinxx#frog,217.7,143.2,1.04,26.5,47.9,Jett,33.0,53.4,228.0,Raze,26.0,41.7,230.8,Chamber,15.0,46.4,188.0,Phantom,898,37,Vandal,417,44,Spectre,209,27
193,671,Kuro#Churo,216.1,137.6,1.02,20.9,50.4,Chamber,37.0,47.0,227.4,Jett,17.0,45.2,263.4,Sova,12.0,65.2,194.4,Vandal,"1,496",36,Operator,400,6,Phantom,391,34
194,669,Tsuya#gigi,231.8,147.3,0.97,18.3,50.0,Jett,32.0,54.2,241.3,Raze,8.5,53.8,232.3,Reyna,5.4,30.0,200.5,Vandal,768,32,Operator,198,10,Stinger,141,20
195,668,Mira#MomG,238.5,154.9,1.2,28.7,50.0,Chamber,17.0,36.7,238.4,Raze,6.6,66.7,245.9,Viper,6.1,66.7,236.9,Vandal,824,43,Phantom,549,39,Ghost,181,55
196,668,AI kev#FPS,220.6,143.2,0.92,29.5,46.8,Jett,28.0,48.0,221.4,Raze,21.0,47.5,222.1,Neon,21.0,31.6,221.9,Vandal,"1,991",43,Ghost,222,57,Sheriff,120,52
197,668,ness#chat,210.6,138.3,1.1,39.6,47.8,Fade,31.0,43.6,206.2,Sova,24.0,55.8,211.9,Harbor,6.9,33.3,207.2,Vandal,"1,633",55,Sheriff,167,76,Ghost,166,59
198,667,lucas#fonem,225.7,145.5,1.07,25.5,53.6,Viper,5.9,72.7,223.4,Chamber,5.5,60.0,272.0,Jett,4.8,66.7,269.0,Vandal,383,45,Phantom,191,41,Operator,98,11
199,667,XSET Noia#iceqb,243.2,160.0,1.22,33.4,51.7,Chamber,82.0,50.3,249.0,Jett,34.0,54.1,248.3,Reyna,15.0,46.4,244.8,Vandal,"3,445",47,Operator,406,9,Sheriff,370,50
200,667,Balooz#Clues,218.6,142.3,1.11,24.0,55.4,Chamber,49.0,56.2,223.7,Jett,18.0,58.1,224.5,Reyna,8.3,56.2,240.3,Vandal,"1,007",39,Operator,455,7,Marshal,263,42
201,666,chime#mpdt,218.9,145.0,1.07,32.9,46.2,Jett,19.0,44.1,224.8,Chamber,15.0,34.5,221.6,Raze,13.0,54.2,250.1,Vandal,"1,786",48,Ghost,254,54,Phantom,241,50
202,666,unstable#meow,219.0,141.1,1.04,32.2,51.3,Jett,57.0,50.5,228.4,Reyna,15.0,55.2,236.5,Chamber,9.2,35.3,201.6,Vandal,"1,763",49,Phantom,222,45,Ghost,170,62
203,665,GUARD P0PPIN#SWING,210.9,134.9,0.95,27.4,50.4,Chamber,46.0,42.9,218.4,Jett,25.0,53.2,215.2,Sova,13.0,52.0,197.9,Vandal,"1,627",44,Phantom,618,35,Operator,206,11
204,661,Swifts#1414,230.3,150.2,0.98,29.0,54.2,Jett,40.0,47.3,221.4,Raze,32.0,56.5,255.3,Neon,13.0,45.8,218.8,Vandal,"2,134",43,Ghost,279,47,Spectre,230,35
205,661,oGee#Joeyy,225.3,148.3,1.13,32.0,52.4,Astra,19.0,73.5,229.1,Chamber,15.0,46.4,225.6,Jett,13.0,37.5,236.2,Vandal,"1,561",45,Phantom,247,46,Sheriff,240,55
206,658,Coco#P M,227.0,147.8,1.05,26.6,60.6,Omen,69.0,66.7,231.2,Reyna,43.0,53.2,246.0,Fade,17.0,69.0,206.1,Vandal,"3,555",35,Ghost,544,42,Phantom,483,31
207,656,EQ118 斗鱼tv#xswl,216.4,140.4,1.08,18.9,49.4,Chamber,23.0,41.9,224.4,Phoenix,9.7,76.5,233.4,Raze,9.6,43.8,233.1,Vandal,"1,273",31,Phantom,337,28,Operator,169,3
208,656,soojai#2000,216.5,140.9,1.11,38.6,59.8,Omen,25.0,75.0,207.1,Brimstone,18.0,66.7,224.0,Viper,14.0,44.0,195.9,Vandal,"2,077",52,Ghost,220,60,Sheriff,175,67
209,655,PureVNS#RIVER,232.6,151.7,1.13,26.2,51.7,KAY/O,15.0,51.9,256.8,Viper,11.0,52.4,220.1,Raze,7.4,61.5,253.6,Vandal,"1,411",36,Sheriff,160,48,Phantom,139,31
210,655,UCR jas0n#bae,227.6,148.3,1.09,27.0,56.0,Chamber,30.0,62.3,244.7,Jett,16.0,59.4,237.4,Astra,6.5,63.6,198.7,Vandal,"1,208",44,Phantom,254,36,Operator,202,11
211,654,marko#CLUB,212.0,139.6,1.07,23.7,50.0,Chamber,24.0,58.1,220.3,Jett,7.7,35.7,221.7,Astra,5.6,33.3,199.2,Vandal,853,32,Operator,160,13,Spectre,112,25
214,653,Tenzin#2005,235.5,149.8,1.05,21.9,47.9,Yoru,52.0,51.1,239.7,Viper,3.6,42.9,209.6,Reyna,3.2,33.3,254.4,Vandal,816,35,Sheriff,272,43,Operator,230,10
215,653,wPanda#5178,195.0,129.1,0.97,23.8,50.3,Viper,20.0,33.3,193.8,Omen,19.0,63.6,204.0,Brimstone,14.0,51.9,198.5,Vandal,"1,167",35,Phantom,478,27,Ghost,147,41
216,653,cheatcode#AIMER,233.6,153.0,1.05,31.1,47.2,Raze,35.0,52.9,247.9,KAY/O,33.0,45.6,230.7,Chamber,14.0,40.7,243.1,Vandal,"2,093",46,Phantom,309,42,Ghost,293,55
217,653,syfi#777,235.5,153.3,1.1,25.3,54.5,Chamber,12.0,47.6,243.5,Raze,8.1,50.0,250.2,Astra,5.5,80.0,235.6,Vandal,880,36,Phantom,151,25,Sheriff,127,57
218,652,ES RyLy#epic,275.1,178.0,1.29,34.7,73.0,Jett,19.0,75.0,323.9,Reyna,3.9,71.4,248.5,Chamber,2.4,25.0,126.6,Vandal,814,45,Sheriff,128,75,Phantom,95,39
219,650,100T stellar#bden,222.9,147.0,1.1,25.6,46.0,KAY/O,16.0,60.0,235.1,Fade,13.0,58.3,211.3,Brimstone,7.6,38.5,211.0,Vandal,"1,300",36,Phantom,255,29,Spectre,205,24
220,650,cavern#001,219.6,145.5,1.06,24.9,49.8,Chamber,51.0,50.6,228.7,Fade,34.0,53.3,204.8,Sova,32.0,51.8,227.4,Vandal,"1,414",38,Phantom,558,32,Operator,517,9
221,650,Furbsa#111,247.1,159.3,1.16,34.0,50.9,Chamber,45.0,44.4,241.3,Jett,34.0,64.1,251.6,Raze,12.0,48.0,254.4,Vandal,"2,040",49,Phantom,295,39,Sheriff,269,60
222,650,Thom#bnana,219.6,142.4,1.03,34.8,55.7,Jett,22.0,68.3,241.8,Chamber,15.0,60.7,218.7,Fade,7.1,50.0,188.6,Vandal,"1,090",54,Operator,231,12,Sheriff,132,57
223,650,Cane#cheat,262.0,166.3,1.14,29.0,55.9,Yoru,27.0,64.0,293.3,Raze,9.6,44.4,260.3,Reyna,6.0,63.6,228.9,Vandal,"1,138",44,Phantom,456,40,Spectre,152,32
224,649,Knights skuba#skuba,235.3,153.7,1.3,30.1,58.6,Viper,6.4,46.2,239.0,Astra,4.8,50.0,224.7,Killjoy,4.5,62.5,221.6,Phantom,336,36,Vandal,286,46,Bulldog,74,36
225,649,adequateapple29#2006,217.0,142.9,1.01,27.2,61.9,Sova,12.0,62.5,207.2,Astra,9.3,60.0,213.2,Fade,7.9,57.1,203.3,Vandal,771,41,Phantom,283,34,Spectre,110,25
226,647,Jivy#deso,199.4,132.2,1.01,26.7,52.9,Fade,8.4,64.3,194.1,KAY/O,5.3,70.0,226.6,Chamber,4.7,57.1,228.0,Vandal,626,39,Sheriff,54,74,Phantom,45,31
227,647,brax#iwnll,237.9,160.5,1.34,32.9,55.8,Sova,30.0,48.0,229.7,Raze,10.0,73.7,275.6,Reyna,9.3,60.0,275.6,Vandal,"1,549",46,Phantom,204,41,Sheriff,167,65
228,647,EG Ethan#FARM,283.9,181.3,1.53,22.9,64.4,KAY/O,8.5,40.0,268.6,Sova,8.0,57.1,258.9,Breach,7.7,61.5,258.3,Vandal,"1,158",33,Stinger,339,23,Phantom,185,32
229,647,Sueiy#0122,207.3,137.1,1.0,29.4,46.8,Chamber,19.0,44.4,217.6,Jett,14.0,64.0,218.2,Astra,7.6,53.8,201.4,Vandal,982,44,Phantom,207,39,Sheriff,174,66
230,647,kazumo#iLL,201.8,132.4,0.9,24.6,46.1,Chamber,55.0,48.0,214.8,Jett,42.0,38.7,212.8,Raze,38.0,51.5,221.0,Vandal,"2,784",41,Phantom,999,32,Ghost,443,41
231,647,TSM FTX Sainful#Meow,297.2,194.4,1.68,25.9,77.5,Chamber,27.0,82.0,313.1,Reyna,9.4,81.2,293.5,Phoenix,9.1,75.0,329.4,Vandal,"1,468",41,Phantom,551,28,Ghost,180,35
232,646,riku#bubz,231.3,150.5,1.08,20.6,50.7,Fade,21.0,50.0,221.1,Jett,19.0,54.5,253.1,Chamber,18.0,42.4,231.8,Vandal,"1,749",28,Operator,324,8,Sheriff,211,42
233,645,OTF HUDFAME#DRIP,246.1,158.8,1.2,28.3,53.2,Chamber,44.0,53.6,250.8,Raze,10.0,63.2,269.1,Jett,8.1,53.3,230.8,Vandal,"1,085",42,Operator,347,8,Ghost,153,53
234,644,RE MungusDGiant#Huge,187.0,122.1,0.96,26.7,55.8,Fade,15.0,63.0,194.2,Breach,8.1,53.8,178.4,Sova,7.4,42.9,188.3,Vandal,662,41,Phantom,236,33,Frenzy,68,24
235,644,fype#leah,211.4,139.6,1.03,28.7,51.7,Sova,15.0,46.4,209.0,Astra,8.7,76.5,221.9,Brimstone,8.5,60.0,207.3,Vandal,"1,225",40,Ghost,143,53,Spectre,142,22
236,644,zajinn#evo,243.3,161.8,1.13,37.7,56.4,Reyna,62.0,66.4,248.2,Jett,23.0,52.5,261.4,Chamber,16.0,51.7,228.9,Vandal,"2,705",53,Ghost,368,55,Phantom,358,48
238,642,kushay#bnana,227.1,148.1,1.06,33.2,55.5,Chamber,8.3,56.2,243.7,Sova,8.3,46.7,240.6,Astra,7.8,57.1,227.8,Vandal,"1,191",50,Phantom,183,41,Ghost,133,58
239,642,KrypticDEO#999,239.8,156.8,1.16,23.7,49.2,Raze,48.0,53.3,243.5,Jett,27.0,36.2,238.6,Reyna,14.0,67.9,252.6,Vandal,"1,954",36,Sheriff,264,48,Spectre,173,28
240,642,Prime#aim,215.0,142.8,1.08,25.4,61.1,Sova,11.0,52.6,221.6,Raze,11.0,52.4,228.7,Phoenix,8.6,77.8,228.6,Vandal,"1,103",37,Phantom,167,39,Ghost,135,39
241,642,ES Akio#Epic,244.7,158.4,1.33,21.7,65.9,Chamber,7.2,75.0,238.7,Reyna,6.5,66.7,273.5,Viper,6.0,81.8,278.1,Vandal,673,31,Phantom,400,28,Sheriff,114,54
242,641,jowzera#000,199.8,132.9,1.0,43.6,44.7,Sova,12.0,27.3,197.9,Chamber,9.3,41.2,211.4,Brimstone,8.2,46.7,214.3,Vandal,"1,178",59,Sheriff,230,65,Guardian,178,71
243,641,Rupert#43110,267.0,171.0,1.36,28.4,69.8,Brimstone,9.9,68.4,272.7,KAY/O,3.5,100.0,282.0,Breach,2.3,75.0,254.8,Vandal,412,37,Phantom,157,31,Sheriff,70,75
245,640,Bruce#UrMoM,218.3,140.7,1.04,20.5,56.6,Chamber,46.0,61.0,217.0,Brimstone,13.0,54.2,227.2,Breach,2.2,50.0,201.5,Vandal,912,33,Operator,277,7,Spectre,135,24
